city_name,rest_name,year,stars
chicago,42 Grams,2011,0
chicago,42 Grams,2012,0
chicago,42 Grams,2013,0
chicago,42 Grams,2014,0
chicago,42 Grams,2015,2
chicago,42 Grams,2016,2
chicago,42 Grams,2017,2
chicago,42 Grams,2018,Closed
chicago,42 Grams,2019,Closed
chicago,42 Grams,2020,Closed
chicago,Acadia,2011,0
chicago,Acadia,2012,0
chicago,Acadia,2013,1
chicago,Acadia,2014,1
chicago,Acadia,2015,1
chicago,Acadia,2016,2
chicago,Acadia,2017,2
chicago,Acadia,2018,2
chicago,Acadia,2019,2
chicago,Acadia,2020,2
chicago,Alinea,2011,3
chicago,Alinea,2012,3
chicago,Alinea,2013,3
chicago,Alinea,2014,3
chicago,Alinea,2015,3
chicago,Alinea,2016,3
chicago,Alinea,2017,3
chicago,Alinea,2018,3
chicago,Alinea,2019,3
chicago,Alinea,2020,3
chicago,Avenues,2011,2
chicago,Avenues,2012,Closed
chicago,Avenues,2013,Closed
chicago,Avenues,2014,Closed
chicago,Avenues,2015,Closed
chicago,Avenues,2016,Closed
chicago,Avenues,2017,Closed
chicago,Avenues,2018,Closed
chicago,Avenues,2019,Closed
chicago,Avenues,2020,Closed
chicago,Band of Bohemia,2011,0
chicago,Band of Bohemia,2012,0
chicago,Band of Bohemia,2013,0
chicago,Band of Bohemia,2014,0
chicago,Band of Bohemia,2015,0
chicago,Band of Bohemia,2016,0
chicago,Band of Bohemia,2017,1
chicago,Band of Bohemia,2018,1
chicago,Band of Bohemia,2019,1
chicago,Band of Bohemia,2020,1
chicago,Blackbird,2011,1
chicago,Blackbird,2012,1
chicago,Blackbird,2013,1
chicago,Blackbird,2014,1
chicago,Blackbird,2015,1
chicago,Blackbird,2016,1
chicago,Blackbird,2017,1
chicago,Blackbird,2018,1
chicago,Blackbird,2019,1
chicago,Blackbird,2020,1
chicago,Boka,2011,1
chicago,Boka,2012,1
chicago,Boka,2013,1
chicago,Boka,2014,1
chicago,Boka,2015,1
chicago,Boka,2016,1
chicago,Boka,2017,1
chicago,Boka,2018,1
chicago,Boka,2019,1
chicago,Boka,2020,1
chicago,Bonsoirée,2011,1
chicago,Bonsoirée,2012,1
chicago,Bonsoirée,2013,Closed
chicago,Bonsoirée,2014,Closed
chicago,Bonsoirée,2015,Closed
chicago,Bonsoirée,2016,Closed
chicago,Bonsoirée,2017,Closed
chicago,Bonsoirée,2018,Closed
chicago,Bonsoirée,2019,Closed
chicago,Bonsoirée,2020,Closed
chicago,Charlie Trotter's,2011,2
chicago,Charlie Trotter's,2012,2
chicago,Charlie Trotter's,2013,Closed
chicago,Charlie Trotter's,2014,Closed
chicago,Charlie Trotter's,2015,Closed
chicago,Charlie Trotter's,2016,Closed
chicago,Charlie Trotter's,2017,Closed
chicago,Charlie Trotter's,2018,Closed
chicago,Charlie Trotter's,2019,Closed
chicago,Charlie Trotter's,2020,Closed
chicago,Courtright's,2011,0
chicago,Courtright's,2012,1
chicago,Courtright's,2013,0
chicago,Courtright's,2014,Closed
chicago,Courtright's,2015,Closed
chicago,Courtright's,2016,Closed
chicago,Courtright's,2017,Closed
chicago,Courtright's,2018,Closed
chicago,Courtright's,2019,Closed
chicago,Courtright's,2020,Closed
chicago,Crofton on Wells,2011,1
chicago,Crofton on Wells,2012,0
chicago,Crofton on Wells,2013,Closed
chicago,Crofton on Wells,2014,Closed
chicago,Crofton on Wells,2015,Closed
chicago,Crofton on Wells,2016,Closed
chicago,Crofton on Wells,2017,Closed
chicago,Crofton on Wells,2018,Closed
chicago,Crofton on Wells,2019,Closed
chicago,Crofton on Wells,2020,Closed
chicago,Dusek's Board & Beer,2011,0
chicago,Dusek's Board & Beer,2012,0
chicago,Dusek's Board & Beer,2013,0
chicago,Dusek's Board & Beer,2014,0
chicago,Dusek's Board & Beer,2015,0
chicago,Dusek's Board & Beer,2016,1
chicago,Dusek's Board & Beer,2017,1
chicago,Dusek's Board & Beer,2018,1
chicago,Dusek's Board & Beer,2019,1
chicago,Dusek's Board & Beer,2020,0
chicago,EL Ideas,2011,0
chicago,EL Ideas,2012,0
chicago,EL Ideas,2013,0
chicago,EL Ideas,2014,1
chicago,EL Ideas,2015,1
chicago,EL Ideas,2016,1
chicago,EL Ideas,2017,1
chicago,EL Ideas,2018,1
chicago,EL Ideas,2019,1
chicago,EL Ideas,2020,1
chicago,Elizabeth,2011,0
chicago,Elizabeth,2012,0
chicago,Elizabeth,2013,0
chicago,Elizabeth,2014,1
chicago,Elizabeth,2015,1
chicago,Elizabeth,2016,1
chicago,Elizabeth,2017,1
chicago,Elizabeth,2018,1
chicago,Elizabeth,2019,1
chicago,Elizabeth,2020,1
chicago,Elske,2011,0
chicago,Elske,2012,0
chicago,Elske,2013,0
chicago,Elske,2014,0
chicago,Elske,2015,0
chicago,Elske,2016,0
chicago,Elske,2017,0
chicago,Elske,2018,1
chicago,Elske,2019,1
chicago,Elske,2020,1
chicago,Entente,2011,0
chicago,Entente,2012,0
chicago,Entente,2013,0
chicago,Entente,2014,0
chicago,Entente,2015,0
chicago,Entente,2016,0
chicago,Entente,2017,0
chicago,Entente,2018,1
chicago,Entente,2019,1
chicago,Entente,2020,1
chicago,Everest,2011,1
chicago,Everest,2012,1
chicago,Everest,2013,1
chicago,Everest,2014,1
chicago,Everest,2015,1
chicago,Everest,2016,1
chicago,Everest,2017,1
chicago,Everest,2018,1
chicago,Everest,2019,1
chicago,Everest,2020,1
chicago,Goosefoot,2011,0
chicago,Goosefoot,2012,0
chicago,Goosefoot,2013,1
chicago,Goosefoot,2014,1
chicago,Goosefoot,2015,1
chicago,Goosefoot,2016,1
chicago,Goosefoot,2017,1
chicago,Goosefoot,2018,1
chicago,Goosefoot,2019,1
chicago,Goosefoot,2020,1
chicago,Grace,2011,0
chicago,Grace,2012,0
chicago,Grace,2013,0
chicago,Grace,2014,2
chicago,Grace,2015,3
chicago,Grace,2016,3
chicago,Grace,2017,3
chicago,Grace,2018,3
