"city_name","rest_name","screenname","member_id","review_language","user_loc","rating","review_date","review_quote","review_text"
"chicago","42 Grams","U6807ONmarinas","DC53F423AB3C0FAF4A6B863F7A6772C9","(null)","Zaragoza, Spain","5","May 14, 2017","Originality, kindness and good taste. Exquisite.","I was more surprised than I expected. The restaurant was small but with really well used spaces. Jack and her wife explained us the story of how the restaurant became a reality. They were very kindly and friendly.And of course the food... excelent. I have no other words but excelent, tasty and beautiful.It's important to make a reservation with enough time because the place it's just for 10 people. You choose being in a table or in front of the stove, which I recommend. A great experience, no doubt."
"chicago","42 Grams","lanceemery","BBE796D80E259E08C2B8E6658C4DBE34","(null)","Chicago, Illinois","5","March 25, 2017","Unbelievable meal, phenomenal experience - our new favorite in Chicago","Our dining experience actually started even before we arrived. Alexa, one of three employees at 42 Grams, called us to make sure we were still coming. When I said we were right outside getting out of a cab, she was waiting for us outside to welcome us in. This is a VERY PERSONAL dining experience. You will either have 8 people sitting at the chefs counter or 8 sitting at a table - THAT IS IT. This is not your everyday restaurant with multiple tables. It is truly an experience.With every dish that came out from Jake Bickelhaupt, Alexa provided a wonderful back story. The dishes are going to change so it isn't worth telling you about all 14 courses other than to say every single one of them were unbelievable. The portions are just big enough to give you a wonderful taste but small enough that you are not stuffed by the end of the fifth course.42 Grams is no longer BYOB and they have a small wine list but it is fantastic. Alexa does a great job of helping pair the wines with the courses that you are having for the day. We ended the evening chatting with Alexa and Jake - it truly is that intimate. How many restaurants give you a one-on-one experience like this?? None! We have dined at all of the best restaurants in Chicago. This is now our favorite and we love that it is in our neighborhood. Thank you Jake and Alexa for a wonderful meal - we will definitely be back again and again!"
"chicago","42 Grams","GL875","1F079D116E810028AA0DA2961C7B9E7E","(null)","Houston, Texas","5","December 22, 2016","Best meal we have had","My wife and I have been fortunate to dine at some amazing Michelin-starred restaurants in Europe and 42 Grams is hands down one of the best meals we have ever had. Each dish is tremendously creative and very well thought-out. The husband and wife team who run the show at 42 Grams have certainly worked very hard to earn their two stars! In addition to the amazing food that Chef Jake serves his guests, he and his wife Alexa go out of their way to make you feel like you are having dinner in their own home. With only 8 total guests at each seating, you quickly become friends with the other guests which really adds to the atmosphere. We visited 42 Grams on a quick weekend trip to Chicago to celebrate our anniversary in October. We could not have been more happy with Jake's creations and the overall experience! "
"chicago","42 Grams","Rptipple","A8093AA5F2816421631850A1ED5C7E8B","(null)","Ostrander, Ohio","5","December 10, 2016","Fabulous!","Absolutely enjoyed each of our eleven courses, Jake's ability to pair ingredients, flavors and textures was uncanny. Alexa guided us through each course and we truly felt as though we were dining in their home."
"chicago","42 Grams","taiya2015","75693094272CA2B4B53025DF9902D3F5","(null)","Chicago, Illinois","5","November 27, 2016","fantastic culinary experience","For a two michelin star restaurant, this place is unusually understated. Its located in the so so area, the setting is very simple and the service is provided by the chef""s wife Alexa, who hosts and serves all 8 guests. But what it lacks in the usual ""luxuries"" it totally makes up in the quality and quantity of all ten courses. Every dish was bursting with flavors and of excellent quality. Of the two chicago restaurants with two michelin stars, 42 grams is much superior as far as the culinary experience."
"chicago","42 Grams","Vnegs","9268FE2BE5A72CC89345E7051166A6BE","(null)","Berkshires, Massachusetts","5","November 19, 2016","Couple of nights in Chicago","When I knew I would be spending a few nights in Chicago, I immediately began thinking of where I was going to have an amazing dinner. 42 Grams was on a short list of places I wanted to try in this great food city, and it surely didn't disappoint.I like the story, I like the concept, I like sitting at kitchen counters and watching a talented chef spend so much time cooking me dinner.The 11 course fall tasting menu is what I had the pleasure of enjoying. A progression of courses starting from the sea, and ending with dishes from the land.Each plate was very luxurious and unique in execution and presentation. Hats off to the chef on his balance of textures and flavors, he has clearly spent years perfecting this skill set.I hope to one day return with my wife so she can enjoy this creative culinary experience."
"chicago","42 Grams","RiaVDB","15981AA93257EFA03CADDDAF2E82953F","(null)","Brussels, Région De Bruxelles-Capitale, Belgium","3","November 13, 2016","how did this place earn 2 Michelin Stars ?","The major ingredient this restaurant is lacking is warmth, in every aspect of it. The reception by the hostess (wife of the chef) is friendly but cold, Then we were also cold in the restaurant. And every hot dish was served lukewarm, which is a real shame. The chef is good and has some magnificent creations, but I never had the 'waw' factor. Creative, and special ingredients, of top quality, tasting very good but not exceptional, not the quality I expect from 2 Michelin stars. I dine in Michelin star restaurants across the globe and I can compare. Being from Europe, we are not used to BYO. Upon walking in, I wanted to hand the bottles to the hostess, she gave them back to me and said ""we will do this later"". In a Michelin star restaurants, I expect a courteous answer and I expect them to take the bottles, even if it is not the way this is normally done. Also, we notified 3 days ahead 1 person was not eating foie gras. The reply was we offer omissions but no substitutions. If I pay 250 usd per person for a meal, I expect service and should be offered a substitution. Again, service unworthy of a Michelin star. The hostess acts as a robot and is totally unfit to be in hospitality. The chef cooks in front of the counter - 8 seats - which could be fun if he interacted with the diners. He is shy and does not speak. This is of course OK, but I do not understand why you run a restaurant for a small audience, which looks like you are receiving people in your living room, and then you do not say a word. The hostess explains every dish to the 8 diners, but she sounds like a tape. My conclusion, definitely not the right value for money. Good but not exceptional food, and service which does not make you feel welcome."
"chicago","42 Grams","Itinerant_Foodies","EA220E3CD4427C904068595AE319C176","(null)","Greensboro, North Carolina","5","September 22, 2016","Still Outstanding!","We were incredibly impressed the first time we dined here early in 2015 so we returned and we were equally (if not more!) impressed. The various dishes in the tasting menu were all experimental in the sense that they explore facinating combinations of ingredients and preparations. But the selection of ingredients is not facinating just to be different for its own sake. It's because the characteristics these ingredients bring the entire experience to the pinnacle of fine dining.This is undoubtedly one of the best restaurants we have ever experienced.As we mentioned previously, it's not a business dinner. This is for foodies or people who want to expand their culinary horizons.And it's communal (whether at the table or the counter) so it's not romantic in the traditional sense of a very quiet table with a great view. However, the combination of the food, the other diners, and the hosts make it a very interesting experience that will give you plenty to discuss both during the meal and afterwards. An unforgettable experience."
"chicago","42 Grams","harfster","92B4C514770129C012C16E775BDF4E17","(null)","Chicago, Illinois","5","July 30, 2016","Fine Dining at its best - maybe the best in Chicago","Many have reviewed 42 Grams in depth. I went for a 5:45pm seating. Everything was phenomenal. Unlike many fine dining experiences I've had, I didn't have to go to Shake Shack afterward. Waygu Beef preparation was out of control good. Desserts (all three) were incredible. Amuse bouche was fantastic. This is one of my top two (proper) fine dining experiences so far in my life. I'll let my pictures speak for the incredible night that was, 42 Grams."
"chicago","42 Grams","KennethPages","85A05569EFBC9DC4559FD91274A5DFDD","(null)","Tampa, Florida","5","July 4, 2016","2 souls indeed","These are heavenly souls and a heavenly meal. Like the best meal your friends ever made and no work on your part other than bringing a couple of bottles of wine. It could be this was the best meal I've had factoring in many variables - and ignoring rib-fest and CTA construction. Booking a table was easy via the website. Payment was all inclusive and in advance so absolutely no surprises. Suggestions for which wines to bring were well in advance and very clear. Husband and wife team seem a great match - he is a man of few words (maybe none on our visit) and she is expressive and approachable. The influences are distinctly Asian with a touch of Midwest sensibility. Portions were good for a tasting menu of 10+ courses and only rarely did it seem rushed. It seems inappropriate to give away any of the experience. all courses were surprises. They have a ""signature dish"" so I'll tell you that - A5 Miyazaki Wagyu. Thanks Jake and Alexa - until we meet again. Also, for Michelin followers - I think this was about the least we paid for a Michelin restaurant. Really worth every penny. "
